,股票代码,实时价格,购买价格,总成本,数量,当前市场价值,资本利得,收益百分比
0,AAPL,167.66000366210938,129.39,16361.696318839784,100,21182.16,4820.47,0.29
1,AC.TO,22.219999313354492,20.25,6084.99,300,6666.00,581.01,0.10
2,CAE,25.43000030517578,24.0,6077.614804868162,200,6425.65,348.04,0.06
3,CHPT,16.09000015258789,11.0,4182.271719534741,300,6099.06,1916.79,0.46
4,F,15.359999656677246,16.0,6077.566744384398,300,5822.44,-255.13,-0.04
5,GLW,33.54999923706055,30.029,11395.385525107564,300,12717.53,1322.14,0.12
6,JETS,20.559999465942383,20.13,7643.140875240793,300,7793.51,150.37,0.02
7,NYCB,9.899999618530273,11.42,4341.545165651553,300,3752.74,-588.80,-0.14
8,SNC.TO,29.100000381469727,31.95,3204.99,100,2910.00,-294.99,-0.09
9,VALE,19.93000030517578,14.3,5433.252365941119,300,7554.65,2121.39,0.39
10,T,19.559999465942383,19.6,7442.238013909681,300,7414.45,-27.79,-0.00
